ET,SA,SR,IA,FZ,V,P ,REIn,TS,FX,FY,MX,MY,MZ,REOut,RL,T,TX
s,rad,-,rad,N,m/s,Pa,m,1/m,N,N,Nm,Nm,Nm,m,m,m,m
0,-0.212336881,-0.999581016,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-10.55742387,2535.890969,-45.21046112,0,-3.086517417,-1045.986619,0.185583567,0,0
0,-0.204813419,-0.998240105,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,1.943216428,2528.674208,-43.12302111,0,-0.431405913,-1634.142688,0.185859023,0,0
0,-0.201623186,-0.996454652,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-32.36311855,2545.013882,-46.02258006,0,-12.4698025,-1971.313834,0.18620669,0,0
0,-0.194851984,-0.993075966,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-35.73635154,2548.238574,-45.6405243,0,-16.91232084,-971.3462749,0.186891794,0,0
0,-0.189276821,-0.988459445,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-20.35831641,2569.269473,-44.88459322,0,-10.57996522,-519.8865099,0.18778649,0,0
0,-0.185241687,-0.99114447,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-28.49429548,2559.829785,-46.09434503,0,-16.36856791,-1248.558325,0.187284715,0,0
0,-0.178458548,-0.988657293,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-40.11368428,2563.642361,-45.53973035,0,-23.15175306,-1109.336785,0.187763784,0,0
0,-0.172971821,-0.987673766,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-27.72521586,2563.727291,-45.63828818,0,-17.82682579,-592.7444484,0.187953188,0,0
0,-0.168766377,-0.985590735,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-24.05173282,2580.599799,-45.50988746,0,-20.05584007,-777.7126312,0.188424362,0,0
0,-0.162283627,-0.983514488,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-39.50645532,2576.158289,-45.83736521,0,-26.5825237,-1269.414337,0.188879789,0,0
0,-0.157142376,-0.988485669,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-32.59059115,2547.174544,-45.56495032,0,-25.64407186,-1565.45241,0.187926639,0,0
0,-0.151901883,-0.979745153,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-25.30050141,2578.506613,-45.45603744,0,-26.09615351,-1358.430821,0.189786166,0,0
