RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,LateralForce,Index,SourceFile
25,12,4,-259.64,6.135,756.183,-468.09,17957,LC0_FZ_250_IA_4_filtered
25,12,4,-259.37,5.25,756.403,-425.08,17979,LC0_FZ_250_IA_4_filtered
25,12,4,-258.4,7.495,755.843,-523.17,17923,LC0_FZ_250_IA_4_filtered
25,12,4,-258.04,3.876,756.753,-342.83,18014,LC0_FZ_250_IA_4_filtered
25,12,2,-257.91,6.891,586.998,-514.95,11694,LC0_FZ_250_Round18_IA_2_filtered
25,12,2,-257.9,6.422,587.118,-500.37,11706,LC0_FZ_250_Round18_IA_2_filtered
25,12,4,-257.82,6.607,756.063,-486.87,17945,LC0_FZ_250_IA_4_filtered
25,12,4,-257.56,-6.202,762.413,464.13,18580,LC0_FZ_250_IA_4_filtered
25,12,2,-257.53,-2.751,594.287,306.05,12423,LC0_FZ_250_Round18_IA_2_filtered
25,12,2,-257.51,7.333,586.888,-531.25,11683,LC0_FZ_250_Round18_IA_2_filtered
25,12,2,-257.41,5.52,587.338,-464.24,11728,LC0_FZ_250_Round18_IA_2_filtered
25,12,4,-257.38,-5.68,762.543,452.32,18593,LC0_FZ_250_IA_4_filtered
25,12,2,-257.28,6.815,587.018,-515.9,11696,LC0_FZ_250_Round18_IA_2_filtered
25,12,4,-257.24,3.83,756.763,-341.02,18015,LC0_FZ_250_IA_4_filtered
25,12,4,-257.23,7.906,755.733,-537.23,17912,LC0_FZ_250_IA_4_filtered
25,12,4,-257.13,6.044,756.203,-466.4,17959,LC0_FZ_250_IA_4_filtered
25,12,4,-257.1,6.974,755.973,-505.39,17936,LC0_FZ_250_IA_4_filtered
25,12,0,-257.1,7.337,417.89,-532.61,5438,LC0_FZ_250_Round18_filtered
25,12,4,-257.04,-5.699,762.533,452.29,18592,LC0_FZ_250_IA_4_filtered
25,12,4,-256.99,-7.957,761.973,510.38,18536,LC0_FZ_250_IA_4_filtered
25,12,4,-256.93,7.973,755.723,-535.38,17911,LC0_FZ_250_IA_4_filtered
25,12,2,-256.89,-3.164,594.177,338.31,12412,LC0_FZ_250_Round18_IA_2_filtered
25,12,-0,-256.81,6.904,418,-518.64,5449,LC0_FZ_250_Round18_filtered
25,12,2,-256.76,6.018,587.218,-481.32,11716,LC0_FZ_250_Round18_IA_2_filtered
25,12,0,-256.72,6.417,418.12,-506.4,5461,LC0_FZ_250_Round18_filtered
25,12,0,-256.65,3.707,418.8,-383.45,5529,LC0_FZ_250_Round18_filtered
25,12,4,-256.63,-8.824,761.753,528.07,18514,LC0_FZ_250_IA_4_filtered
25,12,2,-256.6,-2.872,594.257,311.76,12420,LC0_FZ_250_Round18_IA_2_filtered
25,12,2,-256.6,-1.043,594.717,148.99,12466,LC0_FZ_250_Round18_IA_2_filtered
25,12,0,-256.58,7.31,417.9,-533.53,5439,LC0_FZ_250_Round18_filtered
25,12,0,-256.57,2.99,283.78,-325.28,551,LC0_FZ_250_Round18_filtered
25,12,0,-256.51,3.255,418.91,-350.27,5540,LC0_FZ_250_Round18_filtered
25,12,2,-256.39,8.219,586.668,-557.81,11661,LC0_FZ_250_Round18_IA_2_filtered
25,12,0,-256.28,-3.203,425.17,326.26,6166,LC0_FZ_250_Round18_filtered
25,12,2,-256.22,-6.45,593.357,475.29,12330,LC0_FZ_250_Round18_IA_2_filtered
25,12,4,-256.19,4.683,756.543,-400.11,17993,LC0_FZ_250_IA_4_filtered
25,12,4,-256.19,-9.31,761.633,533.17,18502,LC0_FZ_250_IA_4_filtered
25,12,0,-256.19,7.761,417.78,-547.94,5427,LC0_FZ_250_Round18_filtered
25,12,0,-256.16,7.475,282.65,-534.31,438,LC0_FZ_250_Round18_filtered
25,12,4,-256.15,-8.027,761.953,507.38,18534,LC0_FZ_250_IA_4_filtered
25,12,2,-256.14,-3.654,594.057,369,12400,LC0_FZ_250_Round18_IA_2_filtered
25,12,0,-256,3.687,418.81,-382.52,5530,LC0_FZ_250_Round18_filtered
25,12,0,-256,3.241,418.92,-348.72,5541,LC0_FZ_250_Round18_filtered
25,12,0,-255.95,7.981,282.52,-544.06,425,LC0_FZ_250_Round18_filtered
25,12,2,-255.94,-2.429,594.367,277.76,12431,LC0_FZ_250_Round18_IA_2_filtered
25,12,4,-255.88,-8.804,761.763,525.22,18515,LC0_FZ_250_IA_4_filtered
25,12,0,-255.81,4.165,418.69,-412.91,5518,LC0_FZ_250_Round18_filtered
25,12,0,-255.75,-2.578,290.13,270.74,1186,LC0_FZ_250_Round18_filtered
25,12,0,-255.75,5.936,418.24,-491.67,5473,LC0_FZ_250_Round18_filtered
25,12,2,-255.67,-6.889,593.247,488.29,12319,LC0_FZ_250_Round18_IA_2_filtered
25,12,0,-255.61,8.435,282.41,-556.63,414,LC0_FZ_250_Round18_filtered
25,12,0,-255.61,4.206,418.68,-413.52,5517,LC0_FZ_250_Round18_filtered
25,12,0,-255.54,7.951,282.53,-545.93,426,LC0_FZ_250_Round18_filtered
25,12,4,-255.53,-6.527,762.333,473.46,18572,LC0_FZ_250_IA_4_filtered
25,12,0,-255.51,6.612,282.87,-508.4,460,LC0_FZ_250_Round18_filtered
25,12,4,-255.47,-7.167,762.173,484.8,18556,LC0_FZ_250_IA_4_filtered
25,12,2,-255.43,-7.752,593.027,512.32,12297,LC0_FZ_250_Round18_IA_2_filtered
25,12,0,-255.4,3.396,283.67,-359.55,540,LC0_FZ_250_Round18_filtered
25,12,0,-255.4,6.836,418.02,-519.26,5451,LC0_FZ_250_Round18_filtered
25,12,0,-255.39,3.298,418.9,-351.81,5539,LC0_FZ_250_Round18_filtered
25,12,0,-255.36,0.768,413.66,-109.74,5015,LC0_FZ_250_Round18_filtered
25,12,2,-255.32,4.977,587.478,-444.15,11742,LC0_FZ_250_Round18_IA_2_filtered
25,12,0,-255.28,6.924,417.99,-516,5448,LC0_FZ_250_Round18_filtered
25,12,2,-255.15,10.01,586.218,-589.17,11616,LC0_FZ_250_Round18_IA_2_filtered
25,12,2,-255.15,9.129,586.438,-575.83,11638,LC0_FZ_250_Round18_IA_2_filtered
25,12,2,-255.15,-8.192,592.917,523.02,12286,LC0_FZ_250_Round18_IA_2_filtered
25,12,0,-255.1,6.122,282.99,-494.61,472,LC0_FZ_250_Round18_filtered
25,12,4,-255.03,-8.954,761.723,523.45,18511,LC0_FZ_250_IA_4_filtered
25,12,0,-255.03,1.077,278.55,-155.18,28,LC0_FZ_250_Round18_filtered
25,12,0,-255.03,-3.68,425.05,359.93,6154,LC0_FZ_250_Round18_filtered
25,12,2,-255.01,8.734,586.538,-564.81,11648,LC0_FZ_250_Round18_IA_2_filtered
25,12,2,-255,10.047,586.208,-589.64,11615,LC0_FZ_250_Round18_IA_2_filtered
25,12,0,-254.95,6.172,282.98,-493.83,471,LC0_FZ_250_Round18_filtered
25,12,2,-254.94,6.784,587.028,-513.8,11697,LC0_FZ_250_Round18_IA_2_filtered
25,12,2,-254.9,-4.137,593.937,395.36,12388,LC0_FZ_250_Round18_IA_2_filtered
25,12,2,-254.85,10.525,586.088,-593.67,11603,LC0_FZ_250_Round18_IA_2_filtered
25,12,2,-254.84,-3.14,594.187,335.45,12413,LC0_FZ_250_Round18_IA_2_filtered
25,12,0,-254.83,0.625,278.43,-93.91,16,LC0_FZ_250_Round18_filtered
25,12,2,-254.81,7.862,586.758,-540.31,11670,LC0_FZ_250_Round18_IA_2_filtered
25,12,0,-254.79,7.007,282.77,-521.58,450,LC0_FZ_250_Round18_filtered
25,12,0,-254.78,3.861,283.56,-390.73,529,LC0_FZ_250_Round18_filtered
25,12,0,-254.71,-1.012,425.72,116.42,6221,LC0_FZ_250_Round18_filtered
25,12,-0,-254.67,4.621,418.57,-437.71,5506,LC0_FZ_250_Round18_filtered
25,12,0,-254.63,-1.596,290.37,181.1,1210,LC0_FZ_250_Round18_filtered
25,12,2,-254.57,4.554,587.588,-421.21,11753,LC0_FZ_250_Round18_IA_2_filtered
25,12,4,-254.56,1.975,757.223,-168.27,18061,LC0_FZ_250_IA_4_filtered
25,12,0,-254.55,9.659,417.31,-585.01,5380,LC0_FZ_250_Round18_filtered
25,12,2,-254.54,-8.669,592.797,532.61,12274,LC0_FZ_250_Round18_IA_2_filtered
25,12,0,-254.49,7.128,282.74,-517.38,447,LC0_FZ_250_Round18_filtered
25,12,0,-254.49,-1.665,290.36,184.98,1209,LC0_FZ_250_Round18_filtered
25,12,0,-254.48,8.887,282.3,-569.34,403,LC0_FZ_250_Round18_filtered
25,12,-0,-254.48,-3.71,425.04,361.03,6153,LC0_FZ_250_Round18_filtered
25,12,2,-254.47,9.091,586.448,-575.55,11639,LC0_FZ_250_Round18_IA_2_filtered
25,12,0,-254.45,2.497,283.9,-286.2,563,LC0_FZ_250_Round18_filtered
25,12,0,-254.41,6.66,282.86,-506.23,459,LC0_FZ_250_Round18_filtered
25,12,2,-254.39,-1.961,594.477,240.63,12442,LC0_FZ_250_Round18_IA_2_filtered
25,12,2,-254.38,-7.725,593.037,511.35,12298,LC0_FZ_250_Round18_IA_2_filtered
25,12,0,-254.38,-2.675,425.3,284.86,6179,LC0_FZ_250_Round18_filtered
25,12,2,-254.37,1.652,582.888,-184.19,11283,LC0_FZ_250_Round18_IA_2_filtered
25,12,0,-254.36,9.341,282.18,-576.93,391,LC0_FZ_250_Round18_filtered
25,12,2,-254.33,10.086,586.198,-588.42,11614,LC0_FZ_250_Round18_IA_2_filtered
25,12,0,-254.3,9.543,417.34,-586.86,5383,LC0_FZ_250_Round18_filtered
25,12,0,-254.27,8.845,282.31,-569.96,404,LC0_FZ_250_Round18_filtered
25,12,2,-254.21,-8.166,592.927,521.28,12287,LC0_FZ_250_Round18_IA_2_filtered
25,12,0,-254.17,3.637,418.82,-380.49,5531,LC0_FZ_250_Round18_filtered
25,12,2,-254.15,8.609,586.568,-565.78,11651,LC0_FZ_250_Round18_IA_2_filtered
25,12,0,-254.15,5.051,418.46,-458.19,5495,LC0_FZ_250_Round18_filtered
25,12,0,-254.11,5.259,283.21,-461.58,494,LC0_FZ_250_Round18_filtered
25,12,0,-254.11,5.001,418.47,-458.49,5496,LC0_FZ_250_Round18_filtered
25,12,-0,-254.08,1.923,419.25,-231.13,5574,LC0_FZ_250_Round18_filtered
25,12,4,-254.06,-8.988,761.713,519.19,18510,LC0_FZ_250_IA_4_filtered
25,12,0,-254.02,10.024,417.22,-590.73,5371,LC0_FZ_250_Round18_filtered
25,12,0,-253.97,8.37,282.43,-558.17,416,LC0_FZ_250_Round18_filtered
25,12,0,-253.96,-1.331,425.64,152.4,6213,LC0_FZ_250_Round18_filtered
25,12,2,-253.95,9.64,586.308,-581.45,11625,LC0_FZ_250_Round18_IA_2_filtered
25,12,0,-253.95,4.347,283.44,-418.01,517,LC0_FZ_250_Round18_filtered
25,12,0,-253.95,10.065,417.21,-591.04,5370,LC0_FZ_250_Round18_filtered
25,12,2,-253.9,9.974,586.228,-586.73,11617,LC0_FZ_250_Round18_IA_2_filtered
25,12,2,-253.89,-4.179,593.927,395.94,12387,LC0_FZ_250_Round18_IA_2_filtered
25,12,0,-253.85,3.371,283.68,-357.69,541,LC0_FZ_250_Round18_filtered
25,12,2,-253.83,-7.247,593.157,498.48,12310,LC0_FZ_250_Round18_IA_2_filtered
25,12,0,-253.8,5.095,418.45,-457.55,5494,LC0_FZ_250_Round18_filtered
25,12,2,-253.79,-6.047,593.457,460.47,12340,LC0_FZ_250_Round18_IA_2_filtered
25,12,-0,-253.78,6.796,418.03,-516.76,5452,LC0_FZ_250_Round18_filtered
25,12,0,-253.78,1.876,419.26,-227.9,5575,LC0_FZ_250_Round18_filtered
25,12,2,-253.77,-6.985,593.227,483.9,12317,LC0_FZ_250_Round18_IA_2_filtered
25,12,0,-253.75,1.693,413.9,-224.35,5039,LC0_FZ_250_Round18_filtered
25,12,0,-253.75,6.345,418.14,-504.84,5463,LC0_FZ_250_Round18_filtered
25,12,0,-253.74,-7.319,424.14,503.54,6063,LC0_FZ_250_Round18_filtered
25,12,0,-253.73,0.88,413.69,-126.64,5018,LC0_FZ_250_Round18_filtered
25,12,0,-253.72,4.38,283.43,-418.32,516,LC0_FZ_250_Round18_filtered
25,12,4,-253.7,-8.272,761.893,510.48,18528,LC0_FZ_250_IA_4_filtered
25,12,0,-253.66,-7.805,424.02,514.86,6051,LC0_FZ_250_Round18_filtered
25,12,4,-253.62,-10.175,761.413,537.35,18480,LC0_FZ_250_IA_4_filtered
25,12,2,-253.61,10.935,585.978,-599.14,11592,LC0_FZ_250_Round18_IA_2_filtered
25,12,-0,-253.61,6.072,283,-493.66,473,LC0_FZ_250_Round18_filtered
25,12,4,-253.58,-6.426,762.353,466.19,18574,LC0_FZ_250_IA_4_filtered
25,12,0,-253.57,10.673,281.85,-599.41,358,LC0_FZ_250_Round18_filtered
