RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,LateralForce,Index,SourceFile
25,12,2,-270.19,3.46,588.248,-355.33,12995,R20_FZ_250_IA-2_filtered
25,12,2,-267.69,-5.887,593.887,514.57,13558,R20_FZ_250_IA-2_filtered
25,12,2,-267.59,3.418,588.258,-351.37,12996,R20_FZ_250_IA-2_filtered
25,12,2,-267.44,-5.416,594.007,495.47,13570,R20_FZ_250_IA-2_filtered
25,12,2,-265.31,3.146,588.328,-321.33,13003,R20_FZ_250_IA-2_filtered
25,12,2,-263.48,-6.445,593.747,534.93,13544,R20_FZ_250_IA-2_filtered
25,12,2,-263,2.728,588.438,-278.27,13014,R20_FZ_250_IA-2_filtered
25,12,2,-262.51,-6.869,593.647,547.14,13534,R20_FZ_250_IA-2_filtered
25,12,2,-262.24,2.061,588.598,-214.68,13030,R20_FZ_250_IA-2_filtered
25,12,2,-262.06,-6.211,593.807,526.06,13550,R20_FZ_250_IA-2_filtered
25,12,2,-261.73,-6.486,593.737,536.28,13543,R20_FZ_250_IA-2_filtered
25,12,2,-260.74,-7.191,593.557,556.75,13525,R20_FZ_250_IA-2_filtered
25,12,2,-260.39,0.809,583.058,-73.57,12477,R20_FZ_250_IA-2_filtered
25,12,2,-260.01,4.667,587.948,-433.31,12965,R20_FZ_250_IA-2_filtered
25,12,2,-259.91,-1.153,595.077,186.77,13677,R20_FZ_250_IA-2_filtered
25,12,2,-258.62,4.162,588.078,-398.76,12978,R20_FZ_250_IA-2_filtered
25,12,2,-258.3,0.827,588.908,-69.42,13061,R20_FZ_250_IA-2_filtered
25,12,2,-257.5,12.244,585.988,-593.16,12769,R20_FZ_250_IA-2_filtered
25,12,2,-257.3,10.304,586.538,-589.93,12824,R20_FZ_250_IA-2_filtered
25,12,2,-256.8,8.335,587.028,-566.5,12873,R20_FZ_250_IA-2_filtered
25,12,2,-256.7,11.61,586.198,-591.17,12790,R20_FZ_250_IA-2_filtered
25,12,2,-256.55,12.032,586.108,-588.66,12781,R20_FZ_250_IA-2_filtered
25,12,2,-255.65,7.376,587.268,-549.33,12897,R20_FZ_250_IA-2_filtered
25,12,2,-255.14,-7.866,593.397,566.81,13509,R20_FZ_250_IA-2_filtered
25,12,2,-255.01,7.342,587.278,-547.95,12898,R20_FZ_250_IA-2_filtered
25,12,2,-254.73,10.177,586.568,-583,12827,R20_FZ_250_IA-2_filtered
25,12,2,-254.69,11.992,586.118,-585.46,12782,R20_FZ_250_IA-2_filtered
25,12,2,-253.8,12.302,585.898,-586.25,12760,R20_FZ_250_IA-2_filtered
25,12,2,-253.64,10.232,585.418,-597.92,12713,R20_FZ_250_IA-2_filtered
25,12,2,-252.86,11.201,585.658,-590.33,12737,R20_FZ_250_IA-2_filtered
25,12,2,-252.76,-11.781,592.407,589.69,13410,R20_FZ_250_IA-2_filtered
25,12,2,-252.59,-9.996,592.867,583.79,13456,R20_FZ_250_IA-2_filtered
25,12,2,-252.52,-12.201,592.307,591.08,13400,R20_FZ_250_IA-2_filtered
25,12,2,-252.47,8.653,586.948,-570.04,12865,R20_FZ_250_IA-2_filtered
25,12,2,-252.43,9.216,586.808,-573.13,12851,R20_FZ_250_IA-2_filtered
25,12,2,-252.29,-11.269,592.537,588.46,13423,R20_FZ_250_IA-2_filtered
25,12,2,-252.22,11.486,585.728,-596.57,12744,R20_FZ_250_IA-2_filtered
