RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,Index
25,12,-0,-52.29,-0.013,84.58,A2356raw13.mat_Line8459
25,12,0,-47.07,0.017,84.97,A2356raw13.mat_Line8498
25,12,0,-45.25,-0.008,85.5,A2356raw13.mat_Line8551
25,12,0,-50.25,0.012,85.54,A2356raw13.mat_Line8555
25,12,0,-50.94,0.01,85.59,A2356raw13.mat_Line8560
25,12,0,-43.32,-0.007,85.85,A2356raw13.mat_Line8586
25,12,0,-45.3,0.007,85.97,A2356raw13.mat_Line8598
25,12,0,-48.13,0.007,85.98,A2356raw13.mat_Line8599
25,12,0,-51.09,-0.006,85.99,A2356raw13.mat_Line8600
25,12,0,-53.19,0.007,86,A2356raw13.mat_Line8601
25,12,0,-47.04,0.007,86.09,A2356raw13.mat_Line8610
25,12,0,-54.81,-0.004,86.24,A2356raw13.mat_Line8625
25,12,0,-53.39,-0.016,86.25,A2356raw13.mat_Line8626
25,12,0,-51.13,0.013,86.26,A2356raw13.mat_Line8627
25,12,0,-51.86,-0.001,86.48,A2356raw13.mat_Line8649
25,12,0,-44.08,-0.004,86.51,A2356raw13.mat_Line8652
25,12,-0,-54.64,0.007,86.57,A2356raw13.mat_Line8658
25,12,0,-54.42,0.006,86.58,A2356raw13.mat_Line8659
25,12,0,-52.27,-0.007,86.59,A2356raw13.mat_Line8660
25,12,0,-49.6,0.004,86.6,A2356raw13.mat_Line8661
25,12,0,-46.66,0.003,86.61,A2356raw13.mat_Line8662
25,12,0,-44.38,0.01,86.62,A2356raw13.mat_Line8663
25,12,0,-43.75,0,86.63,A2356raw13.mat_Line8664
25,12,0,-47.62,-0.001,86.65,A2356raw13.mat_Line8666
25,12,0,-50.47,-0.001,86.66,A2356raw13.mat_Line8667
25,12,0,-53.19,0.007,86.67,A2356raw13.mat_Line8668
25,12,0,-54.45,-0.004,86.68,A2356raw13.mat_Line8669
25,12,0,-53.94,0.007,86.69,A2356raw13.mat_Line8670
25,12,-0,-52.95,0,86.7,A2356raw13.mat_Line8671
25,12,0,-50.04,0.009,86.71,A2356raw13.mat_Line8672
25,12,0,-47.23,-0.003,86.72,A2356raw13.mat_Line8673
25,12,0,-44.41,-0.001,86.73,A2356raw13.mat_Line8674
25,12,0,-45.78,-0.003,86.98,A2356raw13.mat_Line8699
25,12,-0,-48.8,0.006,86.99,A2356raw13.mat_Line8700
25,12,0,-43.46,-0.007,87.07,A2356raw13.mat_Line8708
25,12,0,-43.27,-0.001,87.08,A2356raw13.mat_Line8709
25,12,0,-43.12,-0.001,87.52,A2356raw13.mat_Line8753
25,12,0,-43.36,-0.003,87.53,A2356raw13.mat_Line8754
25,12,0,-48.11,0.004,87.61,A2356raw13.mat_Line8762
25,12,-0,-43.17,0.003,87.63,A2356raw13.mat_Line8764
25,12,0,-49.41,0.012,87.83,A2356raw13.mat_Line8784
25,12,0,-45.95,0.007,87.84,A2356raw13.mat_Line8785
25,12,0,-44,-0.001,87.85,A2356raw13.mat_Line8786
25,12,0,-42.83,0.009,87.86,A2356raw13.mat_Line8787
25,12,0,-50.15,-0.006,87.94,A2356raw13.mat_Line8795
25,12,0,-47.23,-0.003,87.95,A2356raw13.mat_Line8796
25,12,0,-44.73,-0.001,87.96,A2356raw13.mat_Line8797
25,12,0,-43.85,-0.003,87.97,A2356raw13.mat_Line8798
25,12,0,-44.35,-0.001,87.98,A2356raw13.mat_Line8799
25,12,0,-47.15,-0.001,87.99,A2356raw13.mat_Line8800
25,12,0,-50.43,-0.007,88,A2356raw13.mat_Line8801
25,12,0,-46.68,0.006,88.1,A2356raw13.mat_Line8811
25,12,0,-53.96,0.013,88.48,A2356raw13.mat_Line8849
25,12,0,-50.51,0.004,88.56,A2356raw13.mat_Line8857
25,12,0,-52.6,-0.003,88.6,A2356raw13.mat_Line8861
25,12,0,-46.41,-0.001,88.66,A2356raw13.mat_Line8867
25,12,0,-49.69,0,88.67,A2356raw13.mat_Line8868
25,12,0,-51.84,-0.001,88.68,A2356raw13.mat_Line8869
25,12,-0,-54.03,-0.003,88.7,A2356raw13.mat_Line8871
25,12,0,-52.94,0.004,88.71,A2356raw13.mat_Line8872
25,12,0,-49.01,0.003,88.78,A2356raw13.mat_Line8879
25,12,0,-52.55,0.004,88.79,A2356raw13.mat_Line8880
25,12,0,-54.16,0.009,88.8,A2356raw13.mat_Line8881
25,12,-0,-54.76,-0.006,88.81,A2356raw13.mat_Line8882
25,12,0,-53.41,-0.001,88.82,A2356raw13.mat_Line8883
25,12,0,-51.5,-0.003,88.83,A2356raw13.mat_Line8884
25,12,0,-49.13,0.003,88.84,A2356raw13.mat_Line8885
25,12,0,-45.46,0.007,88.85,A2356raw13.mat_Line8886
25,12,0,-45.29,0.009,88.88,A2356raw13.mat_Line8889
25,12,0,-48.92,0.003,88.89,A2356raw13.mat_Line8890
25,12,0,-52.01,0.012,88.9,A2356raw13.mat_Line8891
25,12,0,-53.94,0.004,88.91,A2356raw13.mat_Line8892
25,12,0,-54.28,0.004,88.93,A2356raw13.mat_Line8894
25,12,0,-51.77,0.007,88.94,A2356raw13.mat_Line8895
25,12,0,-49.19,-0.004,88.95,A2356raw13.mat_Line8896
25,12,0,-46.27,-0.003,88.96,A2356raw13.mat_Line8897
25,12,-0,-44.22,-0.001,89.08,A2356raw13.mat_Line8909
25,12,0,-53.11,0.009,89.69,A2356raw13.mat_Line8970
25,12,0,-50.02,0.004,89.73,A2356raw13.mat_Line8974
25,12,0,-46.71,-0.003,89.74,A2356raw13.mat_Line8975
25,12,0,-44.38,0.007,89.75,A2356raw13.mat_Line8976
25,12,0,-42.91,-0.001,89.76,A2356raw13.mat_Line8977
25,12,0,-44.19,0.002,89.77,A2356raw13.mat_Line8978
25,12,0,-46.86,-0.013,89.78,A2356raw13.mat_Line8979
25,12,0,-50.03,0.004,89.79,A2356raw13.mat_Line8980
