RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,LateralForce,Index
25,12,0,-252.11,0.003,12.59,-6.54,A2356raw4.mat_Line1260
25,12,0,-251.28,-0.001,12.6,-6.38,A2356raw4.mat_Line1261
25,12,0,-150.76,0.002,12.63,-5.62,A2356raw5.mat_Line1264
25,12,0,-243.08,0,12.64,-4.3,A2356raw4.mat_Line1265
25,12,0,-244.12,0.004,12.65,-4.14,A2356raw4.mat_Line1266
25,12,0,-245.16,-0.004,12.66,-4.63,A2356raw4.mat_Line1267
25,12,0,-247.64,-0.004,12.67,-5.27,A2356raw4.mat_Line1268
25,12,0,-147.89,-0.007,12.7,-6.57,A2356raw5.mat_Line1271
25,12,0,-250.08,0.006,12.72,-6.06,A2356raw4.mat_Line1273
25,12,0,-244.88,-0.007,12.74,-5.08,A2356raw4.mat_Line1275
25,12,0,-243.44,0.01,12.75,-4.3,A2356raw4.mat_Line1276
25,12,0,-247.68,0.042,12.79,-5.6,A2356raw4.mat_Line1280
25,12,0,-249.4,0.047,12.8,-6.55,A2356raw4.mat_Line1281
25,12,0,-251.36,0.087,12.81,-6.54,A2356raw4.mat_Line1282
25,12,0,-251.43,0.105,12.82,-7.17,A2356raw4.mat_Line1283
25,12,0,-245.73,0.268,12.84,-9.06,A2356raw6.mat_Line1285
25,12,-0,-246.98,0.339,12.85,-13.88,A2356raw6.mat_Line1286
25,12,0,-242.97,0.332,12.86,-13.65,A2356raw4.mat_Line1287
25,12,0,-242.73,0.427,12.87,-17.85,A2356raw4.mat_Line1288
25,12,0,-246.82,0.629,12.89,-33.4,A2356raw4.mat_Line1290
25,12,0,-249.85,0.73,12.9,-43.8,A2356raw4.mat_Line1291
25,12,0,-254.16,1,12.92,-67.69,A2356raw4.mat_Line1293
25,12,0,-254.33,1.257,12.94,-95.1,A2356raw4.mat_Line1295
25,12,0,-251.81,1.383,12.95,-110.26,A2356raw4.mat_Line1296
25,12,0,-249.07,1.508,12.96,-127.15,A2356raw4.mat_Line1297
25,12,0,-247.42,1.638,12.97,-145.44,A2356raw4.mat_Line1298
25,12,0,-246.02,1.767,12.98,-164.83,A2356raw4.mat_Line1299
25,12,0,-246.77,1.877,12.99,-185.48,A2356raw4.mat_Line1300
25,12,0,-248.5,1.998,13,-206.27,A2356raw4.mat_Line1301
25,12,0,-249.66,2.115,13.01,-226.6,A2356raw4.mat_Line1302
25,12,0,-250.81,2.242,13.02,-246.61,A2356raw4.mat_Line1303
25,12,0,-250.96,2.366,13.03,-265.84,A2356raw4.mat_Line1304
25,12,0,-246.01,2.593,13.05,-300.67,A2356raw4.mat_Line1306
25,12,-0,-241.74,2.701,13.06,-315.21,A2356raw4.mat_Line1307
25,12,0,-236.99,2.814,13.07,-328.23,A2356raw4.mat_Line1308
25,12,0,-233.37,2.905,13.08,-339.36,A2356raw4.mat_Line1309
25,12,0,-230.4,3.021,13.09,-349.43,A2356raw4.mat_Line1310
25,12,0,-229.91,3.13,13.1,-359.66,A2356raw4.mat_Line1311
25,12,0,-229.95,3.259,13.11,-369.43,A2356raw4.mat_Line1312
25,12,0,-230.52,3.374,13.12,-378.44,A2356raw4.mat_Line1313
25,12,0,-231.59,3.504,13.13,-386.03,A2356raw4.mat_Line1314
25,12,0,-232.2,3.611,13.14,-392.24,A2356raw4.mat_Line1315
25,12,-0,-232.13,3.73,13.15,-396.55,A2356raw4.mat_Line1316
25,12,0,-231.49,3.86,13.16,-398.1,A2356raw4.mat_Line1317
25,12,0,-229.08,3.979,13.17,-397.46,A2356raw4.mat_Line1318
25,12,0,-226.71,4.097,13.18,-396.38,A2356raw4.mat_Line1319
25,12,0,-224.16,4.22,13.19,-395.11,A2356raw4.mat_Line1320
25,12,0,-223.97,4.473,13.2,-440.59,A2356raw6.mat_Line1321
25,12,0,-222.84,4.46,13.21,-401.33,A2356raw4.mat_Line1322
25,12,0,-224.71,4.579,13.22,-407.38,A2356raw4.mat_Line1323
25,12,0,-227.77,4.844,13.23,-462.44,A2356raw6.mat_Line1324
25,12,-0,-230.27,4.828,13.24,-419.02,A2356raw4.mat_Line1325
25,12,0,-233.45,4.949,13.25,-424.16,A2356raw4.mat_Line1326
25,12,0,-235.71,5.08,13.26,-428.2,A2356raw4.mat_Line1327
25,12,0,-236.42,5.212,13.27,-430.38,A2356raw4.mat_Line1328
25,12,0,-234.78,5.318,13.28,-429.92,A2356raw4.mat_Line1329
25,12,0,-232.48,5.458,13.29,-427.6,A2356raw4.mat_Line1330
25,12,-0,-230.83,5.567,13.3,-425.56,A2356raw4.mat_Line1331
25,12,0,-228.81,5.692,13.31,-425.25,A2356raw4.mat_Line1332
25,12,0,-229.29,5.809,13.32,-427.42,A2356raw4.mat_Line1333
25,12,0,-230.91,5.928,13.33,-431.45,A2356raw4.mat_Line1334
25,12,0,-234.7,6.048,13.34,-436.27,A2356raw4.mat_Line1335
25,12,0,-237.8,6.168,13.35,-441.41,A2356raw4.mat_Line1336
25,12,0,-241.55,6.29,13.36,-446.39,A2356raw4.mat_Line1337
