RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,LateralForce,Index,FY
25,12,0,-256.41,2.119,13.01,-217.19,A2356raw15.mat_Line1302,-626.110919439309
25,12,0,-260.66,2.36,13.03,-250.23,A2356raw15.mat_Line1304,-634.848841985397
25,12,0,-260.5,2.483,13.04,-266.83,A2356raw15.mat_Line1305,-633.27125599737
25,12,0,-252.48,2.596,13.05,-324.62,A2356raw14.mat_Line1306,-611.01310541315
25,12,0,-254.86,2.703,13.06,-339.35,A2356raw14.mat_Line1307,-616.526796371603
25,12,0,-253.7,2.814,13.07,-310.7,A2356raw15.mat_Line1308,-612.704431605106
25,12,0,-258.36,2.917,13.08,-368.84,A2356raw14.mat_Line1309,-624.381679175297
25,12,0,-250.83,3.017,13.09,-332.56,A2356raw15.mat_Line1310,-603.929040840926
25,12,0,-255.56,3.132,13.1,-389.46,A2356raw14.mat_Line1311,-615.769331841231
25,12,0,-251.99,3.26,13.11,-391.61,A2356raw14.mat_Line1312,-605.747417707334
25,12,0,-248.1,3.364,13.12,-388.63,A2356raw14.mat_Line1313,-595.089322425976
25,12,0,-244.29,3.495,13.13,-383.04,A2356raw14.mat_Line1314,-584.612364575706
25,12,0,-242.69,3.613,13.14,-379.91,A2356raw14.mat_Line1315,-580.011003683497
25,12,0,-243.01,3.733,13.15,-380.21,A2356raw14.mat_Line1316,-580.429230444964
25,12,0,-244.67,3.86,13.16,-384.71,A2356raw14.mat_Line1317,-584.332687436376
25,12,0,-247.19,3.982,13.17,-392.16,A2356raw14.mat_Line1318,-590.513503136111
25,12,0,-246.42,4.108,13.18,-426.2,A2356raw15.mat_Line1319,-588.150207453392
25,12,0,-244.04,4.23,13.19,-430.37,A2356raw15.mat_Line1320,-581.648254922055
25,12,0,-249.31,4.469,13.21,-415.76,A2356raw14.mat_Line1322,-594.738325019056
25,12,0,-246.95,4.592,13.22,-411.1,A2356raw14.mat_Line1323,-588.332683536522
25,12,0,-243.08,4.719,13.23,-402.08,A2356raw14.mat_Line1324,-578.046692220742
25,12,0,-240.14,4.845,13.24,-392.74,A2356raw14.mat_Line1325,-570.211677146398
25,12,-0,-238.31,4.964,13.25,-386.36,A2356raw14.mat_Line1326,-565.28036162001
25,12,0,-238.24,5.097,13.26,-385.26,A2356raw14.mat_Line1327,-564.870082688878
25,12,0,-240.13,5.216,13.27,-390.24,A2356raw14.mat_Line1328,-569.536528054911
25,12,0,-243.49,5.327,13.28,-398.46,A2356raw14.mat_Line1329,-578.016875703056
