RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,LateralForce,Index,SourceFile
25,12,2,-257.91,6.891,586.998,-514.95,11694,LC0_FZ_250_IA-2_filtered
25,12,2,-257.9,6.422,587.118,-500.37,11706,LC0_FZ_250_IA-2_filtered
25,12,2,-257.53,-2.751,594.287,306.05,12423,LC0_FZ_250_IA-2_filtered
25,12,2,-257.51,7.333,586.888,-531.25,11683,LC0_FZ_250_IA-2_filtered
25,12,2,-257.41,5.52,587.338,-464.24,11728,LC0_FZ_250_IA-2_filtered
25,12,2,-257.28,6.815,587.018,-515.9,11696,LC0_FZ_250_IA-2_filtered
25,12,2,-256.89,-3.164,594.177,338.31,12412,LC0_FZ_250_IA-2_filtered
25,12,2,-256.76,6.018,587.218,-481.32,11716,LC0_FZ_250_IA-2_filtered
25,12,2,-256.6,-2.872,594.257,311.76,12420,LC0_FZ_250_IA-2_filtered
25,12,2,-256.6,-1.043,594.717,148.99,12466,LC0_FZ_250_IA-2_filtered
25,12,2,-256.39,8.219,586.668,-557.81,11661,LC0_FZ_250_IA-2_filtered
25,12,2,-256.22,-6.45,593.357,475.29,12330,LC0_FZ_250_IA-2_filtered
25,12,2,-256.14,-3.654,594.057,369,12400,LC0_FZ_250_IA-2_filtered
25,12,2,-255.94,-2.429,594.367,277.76,12431,LC0_FZ_250_IA-2_filtered
25,12,2,-255.67,-6.889,593.247,488.29,12319,LC0_FZ_250_IA-2_filtered
25,12,2,-255.43,-7.752,593.027,512.32,12297,LC0_FZ_250_IA-2_filtered
25,12,2,-255.32,4.977,587.478,-444.15,11742,LC0_FZ_250_IA-2_filtered
25,12,2,-255.15,10.01,586.218,-589.17,11616,LC0_FZ_250_IA-2_filtered
25,12,2,-255.15,9.129,586.438,-575.83,11638,LC0_FZ_250_IA-2_filtered
25,12,2,-255.15,-8.192,592.917,523.02,12286,LC0_FZ_250_IA-2_filtered
25,12,2,-255.01,8.734,586.538,-564.81,11648,LC0_FZ_250_IA-2_filtered
25,12,2,-255,10.047,586.208,-589.64,11615,LC0_FZ_250_IA-2_filtered
25,12,2,-254.94,6.784,587.028,-513.8,11697,LC0_FZ_250_IA-2_filtered
25,12,2,-254.9,-4.137,593.937,395.36,12388,LC0_FZ_250_IA-2_filtered
25,12,2,-254.85,10.525,586.088,-593.67,11603,LC0_FZ_250_IA-2_filtered
