RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,LateralForce,Index
25,12,0,-107.07,0.647,447.8,-61.21,7491
25,12,0,-106.44,0.691,447.81,-64.59,7492
25,12,0,-103.75,0.737,447.82,-67.55,7493
25,12,0,-101.54,0.769,447.83,-70.79,7494
25,12,0,-101.49,0.799,447.84,-73.44,7495
25,12,0,-107.96,0.948,447.88,-89.28,7499
25,12,0,-111.54,1.008,447.9,-96.15,7501
25,12,0,-112.26,1.062,447.91,-99.26,7502
25,12,0,-110.61,1.095,447.92,-101.39,7503
25,12,0,-103.7,1.221,447.95,-105.73,7506
25,12,0,-102.01,1.253,447.96,-107.41,7507
25,12,0,-102.21,1.291,447.97,-109.55,7508
25,12,0,-103.51,1.337,447.98,-112.22,7509
25,12,0,-111.95,1.512,448.02,-125.3,7513
25,12,0,-110.5,1.531,448.03,-127.59,7514
25,12,0,-108.19,1.581,448.04,-129.13,7515
25,12,0,-101.39,1.821,448.1,-134.5,7521
25,12,0,-104.38,1.853,448.11,-137.94,7522
25,12,0,-106.42,1.891,448.12,-141.71,7523
25,12,0,-108.28,1.937,448.13,-145.28,7524
25,12,0,-97.62,2.151,448.18,-144.61,7529
25,12,0,-96.73,2.235,448.2,-145.62,7531
25,12,0,-98.41,2.287,448.21,-148.75,7532
25,12,0,-101.03,2.327,448.22,-153.32,7533
25,12,0,-106.77,2.443,448.25,-165.73,7536
25,12,0,-105.7,2.487,448.26,-166.54,7537
25,12,0,-102.82,2.521,448.27,-165.38,7538
25,12,0,-96.65,2.576,448.29,-159.62,7540
25,12,0,-102.44,2.773,448.34,-172.2,7545
25,12,0,-105.65,2.838,448.36,-179.36,7547
25,12,0,-94.54,3.055,448.41,-170.14,7552
25,12,0,-94.39,3.101,448.42,-170.25,7553
25,12,0,-100.2,3.23,448.45,-183.51,7556
25,12,0,-99.71,3.439,448.5,-189.09,7561
25,12,0,-97.16,3.471,448.51,-184.74,7562
25,12,0,-94.49,3.517,448.52,-181.87,7563
25,12,0,-93.48,3.544,448.53,-180.79,7564
25,12,0,-94.1,3.587,448.54,-183.58,7565
25,12,0,-101.47,3.697,448.57,-199.35,7568
25,12,0,-103.3,3.744,448.58,-203.24,7569
25,12,0,-104.15,3.774,448.59,-204.83,7570
25,12,0,-100.25,3.847,448.61,-199.53,7572
25,12,0,-97.54,3.892,448.62,-194.33,7573
25,12,-0,-93.46,4.005,448.65,-190.71,7576
25,12,0,-95.21,4.046,448.66,-195.28,7577
25,12,0,-100.06,4.137,448.68,-206.49,7579
25,12,0,-102.46,4.181,448.69,-211.13,7580
25,12,0,-103.28,4.214,448.7,-213,7581
25,12,0,-95.5,4.389,448.74,-200.5,7585
25,12,0,-93.14,4.423,448.75,-198,7586
25,12,0,-93.4,4.47,448.76,-198.5,7587
25,12,0,-93.56,4.499,448.77,-201.42,7588
25,12,0,-102.95,4.702,448.82,-220.91,7593
25,12,0,-99.71,4.791,448.84,-213.77,7595
25,12,0,-96.25,4.827,448.85,-208.31,7596
25,12,0,-93.95,4.868,448.86,-204.24,7597
25,12,0,-92.74,4.908,448.87,-203.3,7598
25,12,0,-99.66,5.071,448.91,-221.36,7602
25,12,0,-101.83,5.106,448.92,-225.12,7603
25,12,0,-102.46,5.146,448.93,-226.35,7604
25,12,0,-102.03,5.197,448.94,-224.63,7605
25,12,0,-99.84,5.232,448.95,-220.25,7606
25,12,0,-91.86,5.339,448.98,-207.21,7609
25,12,0,-91.8,5.389,448.99,-208.7,7610
25,12,0,-92.86,5.422,449,-212.75,7611
25,12,0,-95.3,5.452,449.01,-218.23,7612
25,12,0,-97.52,5.505,449.02,-223.51,7613
25,12,0,-102.42,5.627,449.05,-230.83,7616
25,12,0,-101.12,5.67,449.06,-228.05,7617
25,12,0,-92.94,5.792,449.09,-214.02,7620
25,12,0,-91.97,5.836,449.1,-213.2,7621
25,12,0,-101.1,6.027,449.15,-234.68,7626
25,12,0,-102.37,6.071,449.16,-236.26,7627
25,12,0,-102.34,6.114,449.17,-234.56,7628
25,12,0,-100.41,6.15,449.18,-230.36,7629
25,12,0,-97.12,6.185,449.19,-224.58,7630
25,12,0,-92.7,6.31,449.22,-218.5,7633
25,12,0,-97.47,6.42,449.25,-232.35,7636
25,12,0,-99.48,6.468,449.26,-237.18,7637
25,12,-0,-102.21,6.499,449.27,-239.96,7638
25,12,0,-102.06,6.543,449.28,-240.59,7639
25,12,0,-101.69,6.579,449.29,-237.94,7640
25,12,0,-99.48,6.614,449.3,-232.95,7641
25,12,0,-96.1,6.658,449.31,-227.53,7642
25,12,0,-93.94,6.701,449.32,-223.32,7643
25,12,0,-92.34,6.748,449.33,-222.67,7644
25,12,0,-92.15,6.783,449.34,-224.67,7645
25,12,0,-96.7,6.871,449.36,-235.28,7647
25,12,0,-99.5,6.906,449.37,-240.43,7648
25,12,0,-102.89,6.979,449.39,-246.98,7650
25,12,0,-102.82,7.023,449.4,-245.25,7651
