AmbientRoomTemperature,ElapsedTime,LongitudinalForce,LateralForce,NormalForce,InclinationAngle,OverturningMoment,AligningTorque,WheelRotationalSpeed,NormalizedLongitudinalForce(FX/FZ),NormalizedLateralForce(FY/FZ),TirePressure,EffectiveRadius,LoadedRadius,RoadSurfaceTemperature,SlipAngle,SlipRatioTextbook,SlipRatioBasedOnRL,TireSurfaceTemperature-Center,TireSurfaceTemperature-Inboard,TireSurfaceTemperature-Outboard,RoadSpeed,testid,tireid,Index
78.4,380.25,-2.94,-49.13,-49.91,0.001,-2.88,-2.66,0.09,0.059,0.9843,11.99,44345.58,7.95,90.96,0.909,-0,-0.9998,124.95,128.03,131.55,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",5006
78.38,380.26,-3.05,-49.51,-48.92,0.02,-1.63,-1.32,0.09,0.0624,1.0119,12.07,44334.93,7.95,90.94,0.933,-0,-0.9998,124.84,128,131.53,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",5007
78.4,380.27,-3.32,-50.69,-48.42,0.007,-1.67,0.38,0.09,0.0686,1.0469,12.11,44334.34,7.95,90.9,0.973,-0,-0.9998,124.82,127.96,131.59,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",5008
78.41,380.28,-4.1,-52.71,-49.51,0.004,-1.86,2.13,0.16,0.0827,1.0646,12.09,25732.24,7.95,90.91,1.005,-0,-0.9997,124.86,128.03,131.69,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",5009
78.38,380.29,-4.8,-54.92,-51.24,0.009,-2.42,3.7,0.09,0.0938,1.0719,12.03,44333.23,7.95,90.89,1.045,-0,-0.9998,124.89,127.96,131.77,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",5010
78.39,380.3,-4.65,-57.86,-53.66,-0,-3.31,5.08,0.09,0.0867,1.0781,11.96,44312.13,7.95,90.86,1.076,-0,-0.9998,124.84,127.89,131.73,24.94,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",5011
78.42,380.31,-3.55,-60.6,-56.3,0.017,-3.89,6.45,0.09,0.0631,1.0763,11.95,44311.51,7.95,90.88,1.114,-0,-0.9998,124.86,127.89,131.77,24.94,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",5012
78.4,380.32,-1.95,-63.53,-58.43,0.012,-4.19,6.88,0.09,0.0334,1.0873,11.96,44321.09,7.95,90.9,1.155,-0,-0.9998,124.76,127.92,131.77,24.95,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",5013
78.38,380.33,0.03,-65.99,-58.72,0.004,-5.19,7.06,0.03,-0.0005,1.1238,12.06,160013.92,7.95,90.92,1.182,-0,-1,124.69,127.89,131.79,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",5014
78.4,380.34,1.93,-65.66,-57.41,0.006,-4.18,7.16,0.09,-0.0336,1.1438,12.11,44350.73,7.95,90.88,1.225,-0,-0.9998,124.71,127.85,131.75,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",5015
78.43,380.35,2.68,-65.36,-55.13,0.013,-3.2,6.52,0.09,-0.0486,1.1855,12.17,44370.3,7.95,90.85,1.28,-0,-0.9998,124.65,127.83,131.75,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",5016
78.38,380.36,3.01,-64.54,-52.11,0.01,-2.77,6.16,0.09,-0.0578,1.2387,12.14,44390.3,7.95,90.84,1.31,-0,-0.9998,124.61,127.78,131.67,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",5017
78.39,380.37,2.67,-64.36,-50.07,0.007,-2.26,6.31,0.09,-0.0532,1.2854,12.08,44430.64,7.95,90.83,1.353,-0,-0.9998,124.54,127.7,131.67,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",5018
78.42,380.38,1.51,-64.81,-49.69,0.006,-1.2,6.5,0.09,-0.0303,1.3043,11.98,44409.23,7.95,90.84,1.393,-0,-0.9998,124.59,127.65,131.71,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",5019
78.41,380.39,-0.49,-66.67,-50.55,0.004,-1.02,6.22,-0.04,0.0097,1.319,11.93,-99618.67,7.95,90.83,1.436,-0,-1.0001,124.67,127.63,131.75,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",5020
78.38,380.4,-2.73,-69.64,-52.06,0.004,-2.21,5.79,0.09,0.0524,1.3377,11.93,44376.3,7.95,90.83,1.489,-0,-0.9998,124.74,127.61,131.81,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",5021
78.4,380.41,-4.61,-73.13,-53.63,0.014,-4.03,4.95,-0.04,0.0859,1.3636,11.99,-99498.93,7.95,90.83,1.523,-0,-1.0001,124.78,127.61,131.81,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",5022
78.42,380.42,-5.48,-76.2,-56.44,0.003,-4.14,4.01,0.09,0.097,1.3499,12.05,44333.48,7.95,90.85,1.562,-0,-0.9998,124.8,127.65,131.79,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",5023
78.39,380.43,-4.9,-78.83,-58.69,-0.002,-4.61,3.28,0.03,0.0834,1.3432,12.09,160130.53,7.95,90.87,1.611,-0,-1,124.82,127.67,131.75,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",5024
78.38,380.44,-3.32,-80.41,-59.15,0.006,-4.64,2.92,0.16,0.0562,1.3594,12.06,25784.66,7.95,90.89,1.645,-0,-0.9997,124.84,127.7,131.81,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",5025
78.41,380.45,-1.65,-80.88,-58.56,0.01,-4.06,2.24,0.16,0.0282,1.3812,12,25790.05,7.95,90.91,1.686,-0,-0.9997,124.82,127.65,131.79,25.02,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",5026
78.41,380.46,-0.84,-79.25,-56.4,-0.003,-3.16,0.98,0.03,0.015,1.405,11.9,160269.42,7.96,90.89,1.721,-0,-1,124.8,127.63,131.81,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",5027
78.37,380.47,-0.42,-77.9,-53.69,0.014,-2.57,0.4,0.03,0.0079,1.4511,11.91,160154.17,7.95,90.87,1.762,-0,-1,124.78,127.59,131.73,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",5028
78.39,380.48,-0.64,-76.9,-50.4,0.001,-3.44,0.09,0.09,0.0127,1.5256,11.95,44337.82,7.96,90.81,1.804,-0,-0.9998,124.71,127.48,131.67,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",5029
78.42,380.49,-1,-76.48,-49.4,0.014,-2.1,0.93,0.16,0.0203,1.5481,12.04,25716.18,7.95,90.75,1.832,-0,-0.9997,124.69,127.41,131.63,24.95,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",5030
78.4,380.5,-1.8,-78.14,-49.11,0.003,-2.72,2.11,0.09,0.0366,1.5911,12.12,44284.45,7.96,90.73,1.875,-0,-0.9998,124.76,127.39,131.65,24.94,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",5031
78.38,380.51,-2.66,-80.4,-51.01,0.019,-2.34,3.6,0.09,0.0521,1.5761,12.14,44293.76,7.95,90.75,1.911,-0,-0.9998,124.8,127.39,131.69,24.94,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",5032
78.4,380.52,-4.07,-82.97,-52.14,-0,-3.3,4.21,0.03,0.078,1.5912,12.11,159765.55,7.96,90.76,1.94,-0,-1,124.84,127.39,131.73,24.93,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",5033
78.42,380.53,-4.96,-85.84,-55.11,0.013,-3,4.31,0.09,0.09,1.5576,12.05,44260.5,7.96,90.75,1.996,-0,-0.9998,124.86,127.37,131.71,24.93,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",5034
78.37,380.54,-3.97,-88.79,-57.18,0.009,-3.94,5.05,0.09,0.0694,1.5528,11.98,44249.21,7.96,90.74,2.03,-0,-0.9998,124.91,127.37,131.71,24.92,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",5035
78.39,380.55,-1.64,-90.84,-59.23,0.014,-3.76,6.3,0.03,0.0277,1.5338,11.96,159640.23,7.96,90.73,2.073,-0,-1,124.86,127.39,131.69,24.92,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",5036
78.41,380.56,0.36,-91.38,-58.76,-0.002,-3.95,6.33,0.16,-0.0061,1.5551,12.01,25675.96,7.96,90.75,2.099,-0,-0.9997,124.86,127.45,131.73,24.92,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",5037
78.4,380.57,2.16,-90.27,-57.32,-0.003,-3.26,6.06,0.03,-0.0378,1.5749,12.06,159631.14,7.96,90.76,2.156,-0,-1,124.82,127.45,131.65,24.92,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",5038
