RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,LateralForce,Index,SourceFile
25,12,4,-273.39,-4.389,763.263,450.21,19823,R20_FZ_250_IA-4_filtered
25,12,4,-272.95,-4.422,763.253,452.04,19822,R20_FZ_250_IA-4_filtered
25,12,4,-271.08,-1.73,763.923,270.52,19889,R20_FZ_250_IA-4_filtered
25,12,4,-271.02,-4.792,763.163,468.73,19813,R20_FZ_250_IA-4_filtered
25,12,4,-270.99,-3.419,763.503,399.86,19847,R20_FZ_250_IA-4_filtered
25,12,4,-266.64,-4.663,763.193,465.19,19816,R20_FZ_250_IA-4_filtered
25,12,4,-265.57,2.818,757.413,-248.07,19239,R20_FZ_250_IA-4_filtered
25,12,4,-265.41,6.456,756.493,-498.85,19147,R20_FZ_250_IA-4_filtered
25,12,4,-265.08,-6.336,762.773,529.59,19774,R20_FZ_250_IA-4_filtered
25,12,4,-264.85,-1.568,763.963,255.37,19893,R20_FZ_250_IA-4_filtered
25,12,4,-264.27,-2.348,763.773,327.45,19874,R20_FZ_250_IA-4_filtered
25,12,4,-263.5,-6.787,762.663,542.69,19763,R20_FZ_250_IA-4_filtered
25,12,4,-263.42,4.744,756.923,-400.29,19190,R20_FZ_250_IA-4_filtered
25,12,4,-260.16,-1.057,764.103,202.38,19907,R20_FZ_250_IA-4_filtered
25,12,4,-260.04,1.546,757.723,-114.64,19270,R20_FZ_250_IA-4_filtered
25,12,4,-259.58,3.428,757.253,-300.33,19223,R20_FZ_250_IA-4_filtered
25,12,4,-258.48,4.432,757.003,-377.45,19198,R20_FZ_250_IA-4_filtered
25,12,4,-257.97,6.617,756.453,-499.61,19143,R20_FZ_250_IA-4_filtered
25,12,4,-257.64,11.396,754.703,-528.79,18969,R20_FZ_250_IA-4_filtered
25,12,4,-257.6,7.075,756.343,-514.08,19132,R20_FZ_250_IA-4_filtered
25,12,4,-257.36,7.867,756.143,-537.1,19112,R20_FZ_250_IA-4_filtered
25,12,4,-257.2,6.655,756.443,-500.59,19142,R20_FZ_250_IA-4_filtered
25,12,4,-257.1,3.459,757.243,-302.97,19222,R20_FZ_250_IA-4_filtered
25,12,4,-255.68,12.287,754.893,-529.54,18987,R20_FZ_250_IA-4_filtered
25,12,4,-255.54,10.9,754.583,-542.77,18957,R20_FZ_250_IA-4_filtered
25,12,4,-255.52,-8.877,762.143,576.38,19711,R20_FZ_250_IA-4_filtered
25,12,4,-255.29,-8.926,762.133,577.45,19710,R20_FZ_250_IA-4_filtered
25,12,4,-253.8,1.255,752.174,-88.94,18716,R20_FZ_250_IA-4_filtered
25,12,4,-253.79,-12.086,761.343,586.31,19631,R20_FZ_250_IA-4_filtered
25,12,4,-253.69,2.169,757.563,-179.81,19254,R20_FZ_250_IA-4_filtered
25,12,4,-253.63,11.745,755.163,-523.62,19014,R20_FZ_250_IA-4_filtered
25,12,4,-253.61,-12.226,761.243,585.1,19621,R20_FZ_250_IA-4_filtered
25,12,4,-253.01,10.985,754.603,-529.86,18959,R20_FZ_250_IA-4_filtered
25,12,4,-252.93,11.185,754.654,-537.66,18964,R20_FZ_250_IA-4_filtered
25,12,4,-252.62,-9.026,762.103,578.06,19707,R20_FZ_250_IA-4_filtered
25,12,4,-252.38,11.345,755.263,-535.98,19024,R20_FZ_250_IA-4_filtered
25,12,4,-252.27,-9.137,762.073,576.65,19704,R20_FZ_250_IA-4_filtered
25,12,4,-252.24,-12.275,761.153,585.64,19612,R20_FZ_250_IA-4_filtered
25,12,4,-252.1,10.042,754.373,-540.66,18936,R20_FZ_250_IA-4_filtered
25,12,4,-251.6,1.73,757.683,-128.35,19266,R20_FZ_250_IA-4_filtered
25,12,4,-251.55,8.037,756.103,-530.61,19108,R20_FZ_250_IA-4_filtered
25,12,4,-251.48,-12.261,761.163,586.05,19613,R20_FZ_250_IA-4_filtered
25,12,4,-251.48,-10.306,761.773,583.26,19674,R20_FZ_250_IA-4_filtered
25,12,4,-251.37,-10.51,761.723,583.76,19669,R20_FZ_250_IA-4_filtered
25,12,4,-251.23,-11.522,760.993,588.66,19597,R20_FZ_250_IA-4_filtered
25,12,4,-251.14,-12.245,761.173,586.66,19614,R20_FZ_250_IA-4_filtered
25,12,4,-251.14,-12.221,761.273,586.36,19624,R20_FZ_250_IA-4_filtered
25,12,4,-250.77,11.098,754.633,-528.76,18962,R20_FZ_250_IA-4_filtered
25,12,4,-249.87,-11.251,760.923,587.05,19590,R20_FZ_250_IA-4_filtered
25,12,4,-249.54,-11.45,760.973,590.12,19595,R20_FZ_250_IA-4_filtered
25,12,4,-249.42,-2.121,758.643,311.62,19362,R20_FZ_250_IA-4_filtered
25,12,4,-249.08,8.86,755.893,-540.39,19087,R20_FZ_250_IA-4_filtered
25,12,4,-248.99,0.249,758.053,44.57,19303,R20_FZ_250_IA-4_filtered
25,12,4,-248.95,8.982,755.863,-539.94,19084,R20_FZ_250_IA-4_filtered
25,12,4,-248.91,0.477,757.993,15.69,19297,R20_FZ_250_IA-4_filtered
25,12,4,-248.64,-9.761,760.553,587.28,19553,R20_FZ_250_IA-4_filtered
25,12,4,-248.61,2.315,752.434,-212.01,18742,R20_FZ_250_IA-4_filtered
25,12,4,-248.61,-11.373,760.953,589.91,19593,R20_FZ_250_IA-4_filtered
25,12,4,-248.51,11.609,755.193,-516.8,19017,R20_FZ_250_IA-4_filtered
25,12,4,-247.97,-3.495,758.983,407.57,19396,R20_FZ_250_IA-4_filtered
25,12,4,-247.79,8.142,753.893,-546.7,18888,R20_FZ_250_IA-4_filtered
25,12,4,-247.33,-10.374,760.703,587.66,19568,R20_FZ_250_IA-4_filtered
25,12,4,-246.86,9.258,754.173,-535.71,18916,R20_FZ_250_IA-4_filtered
25,12,4,-246.66,-4.326,759.193,452.39,19417,R20_FZ_250_IA-4_filtered
25,12,4,-245.53,-0.763,758.313,178.49,19329,R20_FZ_250_IA-4_filtered
25,12,4,-244.88,2.16,752.394,-191.26,18738,R20_FZ_250_IA-4_filtered
25,12,4,-244.85,-5.251,759.423,491.31,19440,R20_FZ_250_IA-4_filtered
25,12,4,-244.71,8.263,753.924,-529.16,18891,R20_FZ_250_IA-4_filtered
25,12,4,-244.2,-9.483,760.483,584.05,19546,R20_FZ_250_IA-4_filtered
25,12,4,-244.17,8.815,754.063,-538.84,18905,R20_FZ_250_IA-4_filtered
25,12,4,-243.95,-6.17,759.653,520.47,19463,R20_FZ_250_IA-4_filtered
25,12,4,-243.88,-0.145,758.143,93.53,19312,R20_FZ_250_IA-4_filtered
25,12,4,-243.73,-3.555,759.003,413.85,19398,R20_FZ_250_IA-4_filtered
25,12,4,-243.05,-4.434,759.223,460.12,19420,R20_FZ_250_IA-4_filtered
25,12,4,-243,-7.446,759.973,555.68,19495,R20_FZ_250_IA-4_filtered
25,12,4,-242.49,-5.328,759.443,495.06,19442,R20_FZ_250_IA-4_filtered
25,12,4,-242.1,-5.176,759.403,488.65,19438,R20_FZ_250_IA-4_filtered
25,12,4,-242.06,2.6,752.514,-239.93,18750,R20_FZ_250_IA-4_filtered
25,12,4,-242.06,7.346,753.693,-515.2,18868,R20_FZ_250_IA-4_filtered
25,12,4,-241.84,-0.513,758.233,141.58,19321,R20_FZ_250_IA-4_filtered
25,12,4,-241.8,-8.687,760.283,579.24,19526,R20_FZ_250_IA-4_filtered
25,12,4,-241.26,-5.616,759.513,504.13,19449,R20_FZ_250_IA-4_filtered
25,12,4,-241.25,-4.692,759.283,470.1,19426,R20_FZ_250_IA-4_filtered
25,12,4,-240.91,-0.54,758.243,146.5,19322,R20_FZ_250_IA-4_filtered
25,12,4,-240.76,-8.581,760.253,575.92,19523,R20_FZ_250_IA-4_filtered
25,12,4,-240.69,7.538,753.744,-525.72,18873,R20_FZ_250_IA-4_filtered
25,12,4,-240.28,-6.052,759.623,518.68,19460,R20_FZ_250_IA-4_filtered
25,12,4,-240.24,-7.375,759.953,555.2,19493,R20_FZ_250_IA-4_filtered
25,12,4,-240.11,-5.375,759.453,496.93,19443,R20_FZ_250_IA-4_filtered
25,12,4,-240.03,-5.123,759.393,488.06,19437,R20_FZ_250_IA-4_filtered
25,12,4,-239.36,3.19,752.654,-292.9,18764,R20_FZ_250_IA-4_filtered
25,12,4,-239.24,7.495,753.734,-518.65,18872,R20_FZ_250_IA-4_filtered
25,12,4,-239.22,-4.164,759.153,448.84,19413,R20_FZ_250_IA-4_filtered
25,12,4,-238.51,4.455,752.974,-386.64,18796,R20_FZ_250_IA-4_filtered
25,12,4,-238.32,-6.883,759.833,544.52,19481,R20_FZ_250_IA-4_filtered
25,12,4,-237.86,-6.436,759.723,532.06,19470,R20_FZ_250_IA-4_filtered
25,12,4,-237.42,-5.491,759.483,503.14,19446,R20_FZ_250_IA-4_filtered
25,12,4,-237.33,-6.397,759.713,531.88,19469,R20_FZ_250_IA-4_filtered
25,12,4,-237.05,-6.843,759.823,544.45,19480,R20_FZ_250_IA-4_filtered
25,12,4,-236.02,4.41,752.964,-380.88,18795,R20_FZ_250_IA-4_filtered
25,12,4,-235.4,6.454,753.474,-488.44,18846,R20_FZ_250_IA-4_filtered
25,12,4,-231.5,5.128,753.143,-423.91,18813,R20_FZ_250_IA-4_filtered
25,12,4,-214.73,5.116,655.426,-373.82,15444,R20_FZ_200_IA-4_filtered
25,12,4,-214.4,5.152,655.416,-374.77,15443,R20_FZ_200_IA-4_filtered
25,12,4,-214.37,4.207,655.656,-330.19,15467,R20_FZ_200_IA-4_filtered
25,12,4,-214.08,5.613,655.306,-393.58,15432,R20_FZ_200_IA-4_filtered
25,12,4,-214.01,2.87,655.996,-235.6,15501,R20_FZ_200_IA-4_filtered
25,12,4,-213.75,5.56,655.316,-392.05,15433,R20_FZ_200_IA-4_filtered
25,12,4,-213.39,2.944,655.976,-240.29,15499,R20_FZ_200_IA-4_filtered
25,12,4,-213.31,-5.671,661.536,423.88,16054,R20_FZ_200_IA-4_filtered
25,12,4,-213.08,4.287,655.636,-331.66,15465,R20_FZ_200_IA-4_filtered
25,12,4,-212.88,4.183,655.666,-326.86,15468,R20_FZ_200_IA-4_filtered
25,12,4,-212.53,-2.472,662.336,281.64,16134,R20_FZ_200_IA-4_filtered
25,12,4,-212.46,5.206,655.406,-374.42,15442,R20_FZ_200_IA-4_filtered
25,12,4,-212.19,-2.557,662.316,286.1,16132,R20_FZ_200_IA-4_filtered
25,12,4,-211.96,-4.727,661.776,393.97,16078,R20_FZ_200_IA-4_filtered
25,12,4,-211.92,-5.702,661.526,424.56,16053,R20_FZ_200_IA-4_filtered
25,12,4,-211.89,-5.154,661.666,407.49,16067,R20_FZ_200_IA-4_filtered
25,12,4,-211.74,-6.145,661.416,436.05,16042,R20_FZ_200_IA-4_filtered
25,12,4,-211.73,6.525,655.076,-427.93,15409,R20_FZ_200_IA-4_filtered
25,12,4,-211.53,6.123,655.176,-413.02,15419,R20_FZ_200_IA-4_filtered
25,12,4,-210.69,4.142,655.676,-322.65,15469,R20_FZ_200_IA-4_filtered
25,12,4,-210.6,-5.75,661.516,424.79,16052,R20_FZ_200_IA-4_filtered
25,12,4,-210.51,-6.032,661.446,432.26,16045,R20_FZ_200_IA-4_filtered
25,12,4,-210.21,2.009,656.206,-158.62,15522,R20_FZ_200_IA-4_filtered
25,12,4,-210.06,-4.394,661.856,380.63,16086,R20_FZ_200_IA-4_filtered
25,12,4,-209.79,5.927,655.226,-402.39,15424,R20_FZ_200_IA-4_filtered
25,12,4,-209.64,-2.163,662.416,258.59,16142,R20_FZ_200_IA-4_filtered
25,12,4,-209.52,6.39,655.106,-420.44,15412,R20_FZ_200_IA-4_filtered
25,12,4,-209.39,-7.007,661.206,453.31,16021,R20_FZ_200_IA-4_filtered
25,12,4,-208.99,-3.074,662.186,317.78,16119,R20_FZ_200_IA-4_filtered
25,12,4,-208.96,6.171,655.166,-412.25,15418,R20_FZ_200_IA-4_filtered
25,12,4,-208.88,0.777,650.646,-35.8,14967,R20_FZ_200_IA-4_filtered
25,12,4,-208.74,3.435,655.846,-275.69,15486,R20_FZ_200_IA-4_filtered
25,12,4,-208.36,-2.834,662.246,304.08,16125,R20_FZ_200_IA-4_filtered
25,12,4,-207.99,-7.497,661.076,457.25,16008,R20_FZ_200_IA-4_filtered
25,12,4,-207.83,-12.199,659.846,468.89,15885,R20_FZ_200_IA-4_filtered
25,12,4,-207.74,-6.267,661.386,434.87,16039,R20_FZ_200_IA-4_filtered
25,12,4,-207.44,7.383,654.856,-444.51,15387,R20_FZ_200_IA-4_filtered
25,12,4,-207.44,-12.063,659.946,468.83,15895,R20_FZ_200_IA-4_filtered
25,12,4,-207.36,4.96,655.466,-359.7,15448,R20_FZ_200_IA-4_filtered
25,12,4,-207.32,-6.307,661.376,435.47,16038,R20_FZ_200_IA-4_filtered
25,12,4,-207.21,-2.8,662.256,301.69,16126,R20_FZ_200_IA-4_filtered
25,12,4,-207.18,-5.426,661.596,413.4,16060,R20_FZ_200_IA-4_filtered
25,12,4,-207.01,-12.26,659.736,469.76,15874,R20_FZ_200_IA-4_filtered
25,12,4,-206.99,-7.534,661.066,456.42,16007,R20_FZ_200_IA-4_filtered
25,12,4,-206.91,-4.961,661.716,399.09,16072,R20_FZ_200_IA-4_filtered
25,12,4,-206.8,2.577,656.066,-206.2,15508,R20_FZ_200_IA-4_filtered
25,12,4,-206.76,-11.085,660.186,465.4,15919,R20_FZ_200_IA-4_filtered
25,12,4,-206.75,10.752,653.146,-434.72,15217,R20_FZ_200_IA-4_filtered
25,12,4,-206.68,1.047,656.446,-62.02,15546,R20_FZ_200_IA-4_filtered
25,12,4,-206.61,6.854,654.996,-429.64,15401,R20_FZ_200_IA-4_filtered
25,12,4,-206.61,-3.714,662.026,350.75,16103,R20_FZ_200_IA-4_filtered
25,12,4,-206.59,-1.434,662.596,203.09,16160,R20_FZ_200_IA-4_filtered
25,12,4,-206.55,0.734,650.636,-30.51,14966,R20_FZ_200_IA-4_filtered
25,12,4,-206.38,11.648,653.376,-431.33,15240,R20_FZ_200_IA-4_filtered
25,12,4,-206.25,4.896,655.486,-354.3,15450,R20_FZ_200_IA-4_filtered
25,12,4,-206.25,-4.077,661.936,366.26,16094,R20_FZ_200_IA-4_filtered
25,12,4,-206.23,12.278,653.476,-424.82,15249,R20_FZ_200_IA-4_filtered
25,12,4,-206.22,12.215,653.606,-424.05,15262,R20_FZ_200_IA-4_filtered
25,12,4,-206.11,-9.72,660.526,467.86,15953,R20_FZ_200_IA-4_filtered
25,12,4,-206.09,-2.245,662.396,264.28,16140,R20_FZ_200_IA-4_filtered
25,12,4,-206.08,-12.109,659.936,469.21,15894,R20_FZ_200_IA-4_filtered
25,12,4,-206.07,-11.622,659.616,470.95,15863,R20_FZ_200_IA-4_filtered
25,12,4,-206.02,-8.281,660.876,462.73,15988,R20_FZ_200_IA-4_filtered
25,12,4,-205.88,7.308,654.876,-438.69,15389,R20_FZ_200_IA-4_filtered
25,12,4,-205.78,11.164,653.246,-436.67,15227,R20_FZ_200_IA-4_filtered
25,12,4,-205.74,1.622,656.306,-120.04,15532,R20_FZ_200_IA-4_filtered
25,12,4,-205.7,10.275,653.026,-444.28,15205,R20_FZ_200_IA-4_filtered
25,12,4,-205.69,-11.52,660.056,468.75,15906,R20_FZ_200_IA-4_filtered
25,12,4,-205.62,-11.42,660.086,463.33,15909,R20_FZ_200_IA-4_filtered
25,12,4,-205.57,-10.562,660.306,466.58,15931,R20_FZ_200_IA-4_filtered
25,12,4,-205.5,3.969,655.716,-306.19,15473,R20_FZ_200_IA-4_filtered
25,12,4,-205.31,6.806,655.006,-426.13,15402,R20_FZ_200_IA-4_filtered
25,12,4,-205.31,-10.141,660.416,467.66,15942,R20_FZ_200_IA-4_filtered
25,12,4,-205.3,11.25,653.266,-434.2,15229,R20_FZ_200_IA-4_filtered
25,12,4,-205.19,-11.536,659.596,473.69,15861,R20_FZ_200_IA-4_filtered
25,12,4,-205.14,2.267,656.136,-183,15515,R20_FZ_200_IA-4_filtered
25,12,4,-205.08,12.265,653.506,-416,15252,R20_FZ_200_IA-4_filtered
25,12,4,-205.05,7.854,654.746,-449,15376,R20_FZ_200_IA-4_filtered
25,12,4,-205.03,-8.895,660.736,468.42,15974,R20_FZ_200_IA-4_filtered
25,12,4,-204.98,10.836,653.166,-423.18,15219,R20_FZ_200_IA-4_filtered
25,12,4,-204.97,-11.187,659.506,472.6,15852,R20_FZ_200_IA-4_filtered
25,12,4,-204.96,11.977,653.716,-424.12,15273,R20_FZ_200_IA-4_filtered
25,12,4,-204.96,6.684,655.036,-423.08,15405,R20_FZ_200_IA-4_filtered
25,12,4,-204.92,-7.223,661.146,450.09,16015,R20_FZ_200_IA-4_filtered
25,12,4,-204.91,12.209,653.616,-419.96,15263,R20_FZ_200_IA-4_filtered
25,12,4,-204.89,10.242,653.016,-443.1,15204,R20_FZ_200_IA-4_filtered
25,12,4,-204.83,7.098,654.936,-433.15,15395,R20_FZ_200_IA-4_filtered
25,12,4,-204.82,12.268,653.466,-422.57,15248,R20_FZ_200_IA-4_filtered
25,12,4,-204.81,2.615,656.056,-208.67,15507,R20_FZ_200_IA-4_filtered
25,12,4,-204.81,0.607,656.556,-14.58,15557,R20_FZ_200_IA-4_filtered
25,12,4,-204.8,3.527,655.826,-278.1,15484,R20_FZ_200_IA-4_filtered
25,12,4,-204.75,-12.141,659.926,469.14,15893,R20_FZ_200_IA-4_filtered
25,12,4,-204.74,-11.92,659.976,465.1,15898,R20_FZ_200_IA-4_filtered
25,12,4,-204.53,-8.258,660.886,460.63,15989,R20_FZ_200_IA-4_filtered
25,12,4,-204.43,-10.114,660.426,466.37,15943,R20_FZ_200_IA-4_filtered
25,12,4,-204.26,9.406,652.806,-447.32,15183,R20_FZ_200_IA-4_filtered
25,12,4,-204.02,-11.388,660.096,462.29,15910,R20_FZ_200_IA-4_filtered
25,12,4,-203.9,12.215,653.586,-423.27,15260,R20_FZ_200_IA-4_filtered
25,12,4,-203.88,9.433,652.816,-440.5,15184,R20_FZ_200_IA-4_filtered
25,12,4,-203.88,-8.716,660.776,461.66,15978,R20_FZ_200_IA-4_filtered
25,12,4,-203.85,-11.868,659.986,464.14,15899,R20_FZ_200_IA-4_filtered
