RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,LateralForce,Index,SourceFile
25,12,0,-270.03,2.97,284.18,-334.06,1797,R20_FZ_250_filtered
25,12,0,-269.64,3.16,419.33,-354.53,6775,R20_FZ_250_filtered
25,12,0,-269.35,3.114,419.34,-352.51,6776,R20_FZ_250_filtered
25,12,0,-269.2,2.686,419.45,-312.97,6787,R20_FZ_250_filtered
25,12,0,-269.1,5.387,418.77,-494.87,6719,R20_FZ_250_filtered
25,12,0,-268.97,3.01,284.17,-335.77,1796,R20_FZ_250_filtered
25,12,0,-268.9,-2.671,290.49,305.08,2427,R20_FZ_250_filtered
25,12,0,-268.79,4.029,419.11,-422.15,6753,R20_FZ_250_filtered
25,12,0,-268.69,5.181,283.62,-479.99,1741,R20_FZ_250_filtered
25,12,0,-268.64,3.869,283.95,-405.39,1774,R20_FZ_250_filtered
25,12,0,-268.62,5.229,283.61,-480.6,1740,R20_FZ_250_filtered
25,12,0,-268.58,4.78,283.72,-459.04,1751,R20_FZ_250_filtered
25,12,0,-268.58,2.545,284.28,-294.96,1807,R20_FZ_250_filtered
25,12,0,-268.57,5.344,418.78,-493.48,6720,R20_FZ_250_filtered
25,12,0,-268.36,4.004,419.12,-420.13,6754,R20_FZ_250_filtered
25,12,0,-268.35,-2.796,425.66,319.66,7407,R20_FZ_250_filtered
25,12,-0,-268.31,-2.846,425.65,324.32,7406,R20_FZ_250_filtered
25,12,0,-268.18,-2.724,290.48,310.83,2426,R20_FZ_250_filtered
25,12,0,-268.16,4.906,418.89,-473,6731,R20_FZ_250_filtered
25,12,0,-268.12,2.726,419.44,-314.66,6786,R20_FZ_250_filtered
25,12,0,-267.95,3.839,283.96,-403.69,1775,R20_FZ_250_filtered
25,12,0,-267.9,-1.37,257.02,170.47,1212,R20_FZ_250_filtered
25,12,0,-267.87,-2.634,290.5,300.89,2428,R20_FZ_250_filtered
25,12,0,-267.87,4.949,418.88,-473.78,6730,R20_FZ_250_filtered
25,12,0,-267.79,4.068,419.1,-423.06,6752,R20_FZ_250_filtered
25,12,0,-267.65,4.278,283.85,-432.52,1764,R20_FZ_250_filtered
25,12,0,-267.35,5.199,249.81,-482.45,492,R20_FZ_250_filtered
25,12,0,-267.25,6.104,283.39,-517.8,1718,R20_FZ_250_filtered
25,12,0,-267.15,-2.765,425.67,315.49,7408,R20_FZ_250_filtered
25,12,-0,-267.1,3.633,419.21,-390.64,6763,R20_FZ_250_filtered
25,12,0,-267.04,5.146,283.63,-477.33,1742,R20_FZ_250_filtered
25,12,0,-266.97,4.3,250.04,-436.39,515,R20_FZ_250_filtered
25,12,0,-266.91,-3.083,290.39,340.61,2417,R20_FZ_250_filtered
25,12,0,-266.8,2.184,419.57,-265.03,6799,R20_FZ_250_filtered
25,12,0,-266.79,-3.991,290.16,410.11,2394,R20_FZ_250_filtered
25,12,0,-266.76,-4.03,290.15,413.05,2393,R20_FZ_250_filtered
25,12,0,-266.71,3.031,250.36,-340.24,547,R20_FZ_250_filtered
25,12,0,-266.65,5.307,418.79,-490.67,6721,R20_FZ_250_filtered
25,12,0,-266.61,-3.59,290.26,382.97,2404,R20_FZ_250_filtered
25,12,0,-266.55,6.06,283.4,-515.94,1719,R20_FZ_250_filtered
25,12,0,-266.54,5.707,283.49,-499.18,1728,R20_FZ_250_filtered
25,12,0,-266.53,6.148,283.38,-518.1,1717,R20_FZ_250_filtered
25,12,0,-266.47,-4.918,289.93,462.54,2371,R20_FZ_250_filtered
25,12,0,-266.45,3.462,284.05,-372.96,1784,R20_FZ_250_filtered
25,12,0,-266.4,-3.555,290.27,378.61,2405,R20_FZ_250_filtered
25,12,0,-266.37,-4.156,425.32,424.21,7373,R20_FZ_250_filtered
25,12,0,-266.36,3.043,284.16,-337.14,1795,R20_FZ_250_filtered
25,12,0,-266.32,-3.611,256.46,386.07,1156,R20_FZ_250_filtered
25,12,0,-266.2,-2.602,290.51,297.52,2429,R20_FZ_250_filtered
25,12,0,-266.19,2.769,419.43,-316.34,6785,R20_FZ_250_filtered
25,12,0,-266.14,5.245,249.8,-482.43,491,R20_FZ_250_filtered
25,12,0,-266.11,1.816,419.67,-222.37,6809,R20_FZ_250_filtered
25,12,0,-266.1,-3.725,425.43,395.22,7384,R20_FZ_250_filtered
25,12,0,-266.01,6.31,418.54,-532.84,6696,R20_FZ_250_filtered
25,12,0,-266,-2.452,425.75,288.98,7416,R20_FZ_250_filtered
25,12,0,-265.97,-1.696,290.73,206.62,2451,R20_FZ_250_filtered
25,12,0,-265.91,4.997,418.87,-473.6,6729,R20_FZ_250_filtered
25,12,0,-265.79,5.164,249.82,-480.89,493,R20_FZ_250_filtered
25,12,0,-265.69,2.596,284.27,-296.49,1806,R20_FZ_250_filtered
25,12,0,-265.67,-4.432,290.05,436.94,2383,R20_FZ_250_filtered
25,12,0,-265.64,-1.392,257.01,177.15,1211,R20_FZ_250_filtered
25,12,0,-265.62,6.075,249.59,-519.2,470,R20_FZ_250_filtered
25,12,-0,-265.6,2.089,250.59,-254.15,570,R20_FZ_250_filtered
25,12,0,-265.56,6.119,249.58,-520.12,469,R20_FZ_250_filtered
25,12,0,-265.56,2.057,250.6,-251.37,571,R20_FZ_250_filtered
25,12,0,-265.51,-4.069,290.14,416.63,2392,R20_FZ_250_filtered
25,12,-0,-265.46,-4.637,425.2,452.77,7361,R20_FZ_250_filtered
25,12,0,-265.41,-0.959,257.13,119.45,1223,R20_FZ_250_filtered
25,12,0,-265.23,-0.912,257.14,112.78,1224,R20_FZ_250_filtered
