Pressure_kPa,IA_deg,Fz_N,Data_file_structure
6,4,98.4,<tire>_6_4_98_cornering
6,4,99.9,<tire>_6_4_100_cornering
6,4,104.1,<tire>_6_4_104_cornering
6,4,111.4,<tire>_6_4_111_cornering
6,4,120.2,<tire>_6_4_120_cornering
6,4,126.7,<tire>_6_4_127_cornering
6,4,129.4,<tire>_6_4_129_cornering
6,4,130.5,<tire>_6_4_131_cornering
6,4,131.7,<tire>_6_4_132_cornering
6,4,135.9,<tire>_6_4_136_cornering
6,4,141.5,<tire>_6_4_142_cornering
6,4,148,<tire>_6_4_148_cornering
6,4,153.4,<tire>_6_4_153_cornering
7,-0,93.7,<tire>_7_0_94_cornering
7,0,94.4,<tire>_7_0_94_cornering
7,0,94.8,<tire>_7_0_95_cornering
7,0,95.1,<tire>_7_0_95_cornering
7,-0,95.9,<tire>_7_0_96_cornering
7,0,96.3,<tire>_7_0_96_cornering
7,0,97.3,<tire>_7_0_97_cornering
7,0,98.1,<tire>_7_0_98_cornering
7,0,98.6,<tire>_7_0_99_cornering
7,0,98.8,<tire>_7_0_99_cornering
7,0,99.6,<tire>_7_0_100_cornering
7,0,100,<tire>_7_0_100_cornering
7,0,100.5,<tire>_7_0_101_cornering
7,0,246,<tire>_7_0_246_cornering
7,2,210.3,<tire>_7_2_210_cornering
7,2,210.7,<tire>_7_2_211_cornering
7,2,250.7,<tire>_7_2_251_cornering
7,4,81.5,<tire>_7_4_82_cornering
7,4,86.7,<tire>_7_4_87_cornering
7,4,91,<tire>_7_4_91_cornering
7,4,93.8,<tire>_7_4_94_cornering
7,4,94.5,<tire>_7_4_95_cornering
7,4,96.2,<tire>_7_4_96_cornering
7,4,159.1,<tire>_7_4_159_cornering
7,4,165.4,<tire>_7_4_165_cornering
7,4,171.9,<tire>_7_4_172_cornering
8,-4,93.3,<tire>_8_-4_93_cornering
8,-4,93.4,<tire>_8_-4_93_cornering
8,-4,93.5,<tire>_8_-4_94_cornering
8,-4,93.6,<tire>_8_-4_94_cornering
8,-4,93.7,<tire>_8_-4_94_cornering
8,-4,93.9,<tire>_8_-4_94_cornering
8,-4,94,<tire>_8_-4_94_cornering
8,-4,94.1,<tire>_8_-4_94_cornering
8,-4,94.2,<tire>_8_-4_94_cornering
8,-4,94.3,<tire>_8_-4_94_cornering
8,-4,94.4,<tire>_8_-4_94_cornering
8,-4,94.5,<tire>_8_-4_95_cornering
8,-4,94.6,<tire>_8_-4_95_cornering
8,-4,94.7,<tire>_8_-4_95_cornering
8,-4,94.8,<tire>_8_-4_95_cornering
8,-4,95.1,<tire>_8_-4_95_cornering
8,-4,95.2,<tire>_8_-4_95_cornering
8,-4,95.6,<tire>_8_-4_96_cornering
